title,doi,arxiv_id,abstract_decision,fulltext_decision,title_screened_502,enriched_464,abstract_pool_552,fulltext_queue_387,extraction_224,final_123
Efficient Split Federated Learning for Large Language Models over Communication Networks,,2504.14667,SKIP,DEFER,1,1,1,1,0,0
LLaMA-Adapter V2: Parameter-Efficient Visual Instruction Model,10.48550/arXiv.2304.15010,2304.15010,SKIP,DEFER,1,1,1,1,0,0
DyLoRA: Parameter-Efficient Tuning of Pre-trained Models using Dynamic Search-Free Low-Rank Adaptation,10.48550/arXiv.2210.07558,2210.07558,SKIP,DEFER,1,1,1,1,0,0
LongLoRA: Efficient Fine-tuning of Long-Context Large Language Models,10.48550/arXiv.2309.12307,2309.12307,SKIP,DEFER,1,1,1,1,0,0
PiSSA: Principal Singular Values and Singular Vectors Adaptation of Large Language Models,10.48550/arXiv.2404.02948,2404.02948,SKIP,DEFER,1,1,1,1,0,0
A Rank Stabilization Scaling Factor for Fine-Tuning with LoRA,10.48550/arXiv.2312.03732,2312.03732,SKIP,DEFER,1,1,1,1,0,0
QA-LoRA: Quantization-Aware Low-Rank Adaptation of Large Language Models,10.48550/arXiv.2309.14717,2309.14717,SKIP,DEFER,1,1,1,1,0,0
LoRA-FA: Memory-efficient Low-rank Adaptation for Large Language Models Fine-tuning,10.48550/arXiv.2308.03303,2308.03303,SKIP,DEFER,1,1,1,1,0,0
Composable Sparse Fine-Tuning for Cross-Lingual Transfer,10.18653/v1/2022.acl-long.125,,SKIP,DEFER,1,1,1,1,0,0
Composing Parameter-Efficient Modules with Arithmetic Operations,10.48550/arXiv.2306.14870,2306.14870,SKIP,DEFER,1,1,1,1,0,0
LLaMA-Adapter: Efficient Fine-tuning of Large Language Models with Zero-initialized Attention,,,SKIP,DEFER,1,1,1,1,0,0
ReFT: Representation Finetuning for Language Models,10.48550/arXiv.2404.03592,2404.03592,SKIP,DEFER,1,1,1,1,0,0
KronA: Parameter Efficient Tuning with Kronecker Adapter,10.48550/arXiv.2212.10650,2212.10650,SKIP,DEFER,1,1,1,1,0,0
Memory-Efficient Fine-Tuning of Compressed Large Language Models via sub-4-bit Integer Quantization,10.48550/arXiv.2305.14152,2305.14152,SKIP,DEFER,1,1,1,1,0,0
ATTEMPT: Parameter-Efficient Multi-task Tuning via Attentional Mixtures of Soft Prompts,10.18653/v1/2022.emnlp-main.446,,SKIP,DEFER,1,1,1,1,0,0
Mixture of Cluster-conditional LoRA Experts for Vision-language Instruction Tuning,10.48550/arXiv.2312.12379,2312.12379,SKIP,DEFER,1,1,1,1,1,0
AdapterSoup: Weight Averaging to Improve Generalization of Pretrained Language Models,10.48550/arXiv.2302.07027,2302.07027,SKIP,DEFER,1,1,1,1,0,0
LQ-LoRA: Low-rank Plus Quantized Matrix Decomposition for Efficient Language Model Finetuning,10.48550/arXiv.2311.12023,2311.12023,SKIP,DEFER,1,1,1,1,0,0
Asymmetry in Low-Rank Adapters of Foundation Models,10.48550/arXiv.2402.16842,2402.16842,SKIP,DEFER,1,1,1,1,0,0
MoRAL: MoE Augmented LoRA for LLMs' Lifelong Learning,10.48550/arXiv.2402.11260,2402.11260,SKIP,DEFER,1,1,1,1,0,0
LoRA Dropout as a Sparsity Regularizer for Overfitting Control,10.48550/arXiv.2404.09610,2404.09610,SKIP,DEFER,1,1,1,1,0,0
Mixture-of-Subspaces in Low-Rank Adaptation,10.48550/arXiv.2406.11909,2406.11909,SKIP,DEFER,1,1,1,1,0,0
DePT: Decomposed Prompt Tuning for Parameter-Efficient Fine-tuning,10.48550/arXiv.2309.05173,2309.05173,SKIP,DEFER,1,1,1,1,0,0
Combining Parameter-efficient Modules for Task-level Generalisation,10.18653/v1/2023.eacl-main.49,,SKIP,DEFER,1,1,1,1,0,0
HyperTuning: Toward Adapting Large Language Models without Back-propagation,10.48550/arXiv.2211.12485,2211.12485,SKIP,DEFER,1,1,1,1,0,0
Low-Rank Adaptation for Foundation Models: A Comprehensive Review,10.48550/arXiv.2501.00365,2501.00365,SKIP,DEFER,1,1,1,1,0,0
