cite_key,entry_type,title,venue_raw,venue_category,year,doi,doi_type
WangGLUE2018,inproceedings,GLUE: A Multi-Task Benchmark and Analysis Platform for Natural Language Understanding,International Conference on Learning Representations (ICLR),ICLR,2019,10.48550/arXiv.1804.07461,arXiv DOI
HendrycksMMLU2021,inproceedings,Measuring Massive Multitask Language Understanding,International Conference on Learning Representations (ICLR),ICLR,2021,10.48550/arXiv.2009.03300,arXiv DOI
LepikhinGShard2021,inproceedings,GShard: Scaling Giant Models with Conditional Computation and Automatic Sharding,International Conference on Learning Representations (ICLR),ICLR,2021,10.48550/arXiv.2006.16668,arXiv DOI
HeUnifiedPEFT2022,inproceedings,Towards a Unified View of Parameter-Efficient Transfer Learning,International Conference on Learning Representations (ICLR),ICLR,2022,10.48550/arXiv.2110.04366,arXiv DOI
Hu2022,inproceedings,LoRA: Low-Rank Adaptation of Large Language Models,International Conference on Learning Representations (ICLR),ICLR,2022,10.48550/arXiv.2106.09685,arXiv DOI
Ilharco2023TaskArithmetic,inproceedings,Editing Models with Task Arithmetic,International Conference on Learning Representations (ICLR),ICLR,2023,10.48550/arXiv.2212.04089,arXiv DOI
LialinReLoRA2023,inproceedings,ReLoRA: High-Rank Training Through Low-Rank Updates,International Conference on Learning Representations (ICLR) Workshop,ICLR,2023,10.48550/arXiv.2307.05695,arXiv DOI
ZhangAdaLoRA2023,inproceedings,AdaLoRA: Adaptive Budget Allocation for Parameter-Efficient Fine-Tuning,International Conference on Learning Representations (ICLR),ICLR,2023,10.48550/arXiv.2303.10512,arXiv DOI
SunImprovingLoRA2024,inproceedings,Improving LoRA in Privacy-Preserving Federated Learning,International Conference on Learning Representations (ICLR),ICLR,2024,10.48550/arXiv.2403.12313,arXiv DOI
WuMixtureLoRA2024,inproceedings,Mixture of LoRA Experts,International Conference on Learning Representations (ICLR),ICLR,2024,10.48550/arXiv.2404.13628,arXiv DOI
ZadouriPushMoE2024,inproceedings,Pushing Mixture of Experts to the Limit: Extremely Parameter Efficient MoE for Instruction Tuning,International Conference on Learning Representations (ICLR),ICLR,2024,10.48550/arXiv.2309.05444,arXiv DOI
ZengExpressive2024,inproceedings,The Expressive Power of Low-Rank Adaptation,International Conference on Learning Representations (ICLR),ICLR,2024,10.48550/arXiv.2310.17513,arXiv DOI
GuoSelective2025,inproceedings,Selective Aggregation for Low-Rank Adaptation in Federated Learning,International Conference on Learning Representations (ICLR),ICLR,2025,10.48550/arXiv.2410.01463,arXiv DOI
Houlsby2019,inproceedings,Parameter-Efficient Transfer Learning for NLP,International Conference on Machine Learning (ICML),ICML,2019,10.48550/arXiv.1902.00751,arXiv DOI
DuGLaM2022,inproceedings,GLaM: Efficient Scaling of Language Models with Mixture-of-Experts,International Conference on Machine Learning (ICML),ICML,2022,10.48550/arXiv.2112.06905,arXiv DOI
RajbhandariDeepSpeed2022,inproceedings,DeepSpeed-MoE: Advancing Mixture-of-Experts Inference and Training to Power Next-Generation AI Scale,International Conference on Machine Learning (ICML),ICML,2022,10.48550/arXiv.2201.05596,arXiv DOI
Wortsman2022,inproceedings,Model Soups: Averaging Weights of Multiple Fine-tuned Models Improves Accuracy without Increasing Inference Time,International Conference on Machine Learning (ICML),ICML,2022,10.48550/arXiv.2203.05482,arXiv DOI
ShengFlexGen2023,inproceedings,FlexGen: High-Throughput Generative Inference of Large Language Models with a Single GPU,International Conference on Machine Learning (ICML),ICML,2023,10.48550/arXiv.2303.06865,arXiv DOI
LiuDoRA2024,inproceedings,DoRA: Weight-Decomposed Low-Rank Adaptation,International Conference on Machine Learning (ICML),ICML,2024,10.48550/arXiv.2402.09353,arXiv DOI
Muqeeth2024,inproceedings,Learning to Route Among Specialized Experts for Zero-Shot Generalization,International Conference on Machine Learning (ICML),ICML,2024,10.48550/arXiv.2402.05859,arXiv DOI
Ostapenko2024,inproceedings,Towards Modular LLMs by Building and Reusing a Library of LoRAs,International Conference on Machine Learning (ICML),ICML,2024,10.5555/3692070.3693646,venue DOI
HuDistributed2022,inproceedings,Distributed Inference with Deep Learning Models across Heterogeneous Edge Devices,IEEE International Conference on Computer Communications (INFOCOM),IEEE INFOCOM,2022,10.1109/INFOCOM48880.2022.9796896,venue DOI
GaoINFOCOM2025,inproceedings,Federated Adaptive Fine-Tuning of Large Language Models with Heterogeneous Quantization Constraints,IEEE International Conference on Computer Communications (INFOCOM),IEEE INFOCOM,2025,10.1109/INFOCOM55648.2025.11044641,venue DOI
SajinaP2PConnection2024,article,An Overview of Autonomous Connection Establishment Methods in Peer-to-Peer Deep Learning,IEEE Access,Ieee Access,2024,10.1109/ACCESS.2024.3442014,venue DOI
WangGlobecom2024,inproceedings,Federated Low-Rank Adaptation for Large Language Model Fine-Tuning over Wireless Networks,IEEE Global Communications Conference (GLOBECOM),Ieee Global Communications Conference (Globecom),2024,10.1109/GLOBECOM52923.2024.10901572,venue DOI
WuRock2025,inproceedings,Rock: Serving Multimodal Models in Cloud with Heterogeneous-Aware Resource Orchestration for Thousands of LoRA Adapters,IEEE International Conference on Cluster Computing (CLUSTER),Ieee International Conference On Cluster Computing (Cluster),2025,10.1109/CLUSTER59342.2025.11186463,venue DOI
Shi2025AuLoRA,inproceedings,AuLoRA: Fine-Grained Loading and Computation Orchestration for Efficient LoRA LLM Serving,IEEE International Conference on Computer Design (ICCD),Ieee International Conference On Computer Design (Iccd),2025,10.1109/ICCD65941.2025.00046,venue DOI
XuDPFedLoRA2025,inproceedings,DP-FedLoRA: Privacy-Enhanced Federated Fine-Tuning for On-Device Large Language Models,IEEE International Conference on Data Mining (ICDM),Ieee International Conference On Data Mining (Icdm),2025,10.1109/ICDM65498.2025.00089,venue DOI
ZhaoFedMCP2024,inproceedings,FedMCP: Parameter-Efficient Federated Learning with Model-Contrastive Personalization,IEEE International Conference on Parallel and Distributed Systems (ICPADS),Ieee International Conference On Parallel And Distributed Systems (Icpads),2024,10.1109/ICPADS63350.2024.00040,venue DOI
CaiEdgeLLM2024,inproceedings,Edge-LLM: A Collaborative Framework for Large Language Model Serving in Edge Computing,IEEE International Conference on Web Services (ICWS),Ieee International Conference On Web Services (Icws),2024,10.1109/ICWS62655.2024.00099,venue DOI
WinkP2PFL2021,inproceedings,An Approach for Peer-to-Peer Federated Learning,IEEE/IFIP International Conference on Dependable Systems and Networks Workshops (DSN-W),Ieee/Ifip International Conference On Dependable Systems And Networks Workshops (Dsn-W),2021,10.1109/DSN-W52860.2021.00034,venue DOI
HegeduisGossip2019,inproceedings,Gossip Learning as a Decentralized Alternative to Federated Learning,IFIP International Conference on Distributed Applications and Interoperable Systems (DAIS),Ifip International Conference On Distributed Applications And Interoperable Systems (Dais),2019,10.1007/978-3-030-22496-7_5,venue DOI
ChenFlashServe2025,inproceedings,FlashServe: Cost-Efficient Serverless Inference Scheduling for Large Language Models,International Conference on Computer Science and Management Technology,International Conference On Computer Science And Management Technology,2025,10.1145/3795154.3795363,venue DOI
NiPredictive2025,inproceedings,Predictive-LoRA: A Proactive and Fragmentation-Aware Serverless Inference System for LLMs,International Conference on Computer Science and Management Technology,International Conference On Computer Science And Management Technology,2025,10.1145/3795154.3795359,venue DOI
TrautmannAgg2024,inproceedings,Aggregating Low Rank Adapters in Federated Fine-Tuning,International Conference on Federated Learning Technologies and Applications (FLTA),International Conference On Federated Learning Technologies And Applications (Flta),2024,10.1109/FLTA63145.2024.10840125,venue DOI
MaymounkovKademlia2002,inproceedings,Kademlia: A Peer-to-Peer Information System Based on the XOR Metric,International Workshop on Peer-to-Peer Systems (IPTPS),International Workshop On Peer-To-Peer Systems (Iptps),2002,10.1007/3-540-45748-8_5,venue DOI
FengMoLoRAs2024,inproceedings,Mixture-of-LoRAs: An Efficient Multitask Tuning Method for Large Language Models,Language Resources and Evaluation Conference (LREC-COLING),LREC-COLING,2024,10.48550/arXiv.2403.03432,arXiv DOI
Li2020FedProx,inproceedings,Federated Optimization in Heterogeneous Networks,Conference on Machine Learning and Systems (MLSys),MLSys,2020,10.48550/arXiv.1812.06127,arXiv DOI
Chen2023Punica,inproceedings,Punica: Multi-Tenant LoRA Serving,Conference on Machine Learning and Systems (MLSys),MLSys,2024,10.48550/arXiv.2310.18547,arXiv DOI
Sheng2024,inproceedings,S-LoRA: Serving Thousands of Concurrent LoRA Adapters,Conference on Machine Learning and Systems (MLSys),MLSys,2024,10.48550/arXiv.2311.03285,arXiv DOI
Devlin2019,inproceedings,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,North American Chapter of the Association for Computational Linguistics (NAACL-HLT),NAACL (main),2019,10.18653/v1/N19-1423,venue DOI
LiZhouSparser2025,inproceedings,Sparser Mixture-of-Adapters with Cross-Layer Generalization,North American Chapter of the Association for Computational Linguistics (NAACL),NAACL (main),2025,10.18653/v1/2025.naacl-long.201,venue DOI
